id_movimiento,id_producto,id_sucursal,tipo,cantidad,fecha_hora,id_orden_venta,id_orden_compra
1,106,1,Ajuste,-12,2026-09-10 23:02:13,1,
2,104,1,Salida,-4,2026-09-10 22:57:43,2,
3,101,1,Salida,-13,2026-09-10 22:57:43,2,
4,103,1,Salida,-5,2026-09-10 22:57:43,2,
5,103,1,Salida,-2,2026-09-10 22:57:43,2,
6,103,1,Salida,-10,2026-09-10 22:57:43,2,
7,101,2,Salida,-11,2026-09-10 22:56:58,3,
8,102,2,Salida,-11,2026-09-10 22:57:57,4,
9,106,2,Salida,-2,2026-09-10 22:57:57,4,
10,106,2,Salida,-4,2026-09-10 22:57:57,4,
11,103,1,Salida,-7,2026-09-10 22:57:38,5,
12,102,2,Salida,-5,2026-09-10 23:02:32,6,
13,105,2,Salida,-5,2026-09-10 23:02:32,6,
14,105,2,Salida,-7,2026-09-10 23:02:32,6,
15,102,2,Salida,-9,2026-09-10 23:02:32,6,
16,105,1,Salida,-5,2026-09-10 23:01:25,7,
17,101,1,Salida,-11,2026-09-10 23:01:25,7,
18,105,1,Salida,-13,2026-09-10 23:01:25,7,
19,101,1,Salida,-5,2026-09-10 23:01:25,7,
20,106,2,Salida,-9,2026-09-10 22:57:30,8,
21,102,2,Salida,-9,2026-09-10 22:57:30,8,
22,101,2,Salida,-10,2026-09-10 22:57:30,8,
23,101,1,Ajuste,-13,2026-09-10 23:01:48,9,
24,106,1,Salida,-8,2026-09-10 23:01:48,9,
25,105,1,Ajuste,-14,2026-09-10 23:01:48,9,
26,105,1,Salida,-13,2026-09-10 23:01:48,9,
27,105,2,Salida,-4,2026-09-10 22:58:37,10,
28,106,2,Salida,-11,2026-09-10 22:58:37,10,
29,101,2,Salida,-14,2026-09-10 22:58:37,10,
30,103,2,Salida,-11,2026-09-10 22:58:37,10,
31,106,2,Salida,-15,2026-09-10 22:58:37,10,
32,104,1,Salida,-14,2026-09-10 23:01:33,11,
33,106,1,Salida,-2,2026-09-10 23:01:33,11,
34,101,1,Salida,-4,2026-09-10 23:01:33,11,
35,102,1,Salida,-7,2026-09-10 23:01:33,11,
36,102,2,Salida,-1,2026-09-10 23:02:18,13,
37,106,2,Salida,-6,2026-09-10 23:02:18,13,
38,105,2,Salida,-15,2026-09-10 23:02:18,13,
39,102,1,Salida,-10,2026-09-10 23:02:45,14,
