id_orden,id_cliente,id_empleado,id_sucursal,fecha_hora,subtotal,iva,total,metodo_pago,estatus
1,41,3,1,2026-09-10 23:02:13,1800.0,288.0,2088.0,Tarjeta de Crédito,Pagada
2,2,9,1,2026-09-10 22:57:43,55250.0,8840.0,64090.0,Efectivo,Pagada
3,8,4,2,2026-09-10 22:56:58,1650.0,264.0,1914.0,Transferencia,Pagada
4,7,10,2,2026-09-10 22:57:57,8600.0,1376.0,9976.0,Transferencia,Pagada
5,41,11,1,2026-09-10 22:57:38,21000.0,3360.0,24360.0,Efectivo,Pagada
6,46,7,2,2026-09-10 23:02:32,9800.0,1568.0,11368.0,Tarjeta de Débito,Pagada
7,10,12,1,2026-09-10 23:01:25,2400.0,384.0,2784.0,Tarjeta de Débito,Pagada
8,47,17,2,2026-09-10 22:57:30,9135.0,1461.6,10596.6,Efectivo,Pagada
9,20,3,1,2026-09-10 23:01:48,3150.0,504.0,3654.0,Efectivo,Pagada
10,29,4,2,2026-09-10 22:58:37,39000.0,6240.0,45240.0,Efectivo,Pagada
11,27,3,1,2026-09-10 23:01:33,14900.0,2384.0,17284.0,Tarjeta de Débito,Pagada
12,5,17,2,2026-09-10 22:58:27,14650.0,2344.0,16994.0,Efectivo,Pendiente
13,25,16,2,2026-09-10 23:02:18,1600.0,256.0,1856.0,Tarjeta de Débito,Pagada
14,6,3,1,2026-09-10 23:02:45,51050.0,8168.0,59218.0,Tarjeta de Crédito,Pagada
15,5,11,1,2026-09-10 23:01:47,15750.0,2520.0,18270.0,Transferencia,Pagada
16,1,4,2,2026-09-10 22:59:08,1350.0,216.0,1566.0,Tarjeta de Crédito,Pagada
17,14,17,2,2026-09-10 22:58:07,13850.0,2216.0,16066.0,Efectivo,Pagada
18,24,12,1,2026-09-10 22:58:05,12000.0,1920.0,13920.0,Transferencia,Pagada
19,40,9,1,2026-09-10 22:57:38,8400.0,1344.0,9744.0,Tarjeta de Crédito,Pagada
20,43,11,1,2026-09-10 22:57:33,2600.0,416.0,3016.0,Efectivo,Pagada
21,15,9,1,2026-09-10 22:59:42,42000.0,6720.0,48720.0,Transferencia,Pagada
22,23,15,2,2026-09-10 23:00:41,9050.0,1448.0,10498.0,Efectivo,Pagada
23,43,13,2,2026-09-10 23:01:20,14150.0,2264.0,16414.0,Transferencia,Pagada
24,20,7,2,2026-09-10 22:57:49,10400.0,1664.0,12064.0,Transferencia,Pagada
25,16,18,2,2026-09-10 23:01:28,14930.0,2388.8,17318.8,Efectivo,Pagada
26,36,16,2,2026-09-10 22:59:16,59000.0,9440.0,68440.0,Tarjeta de Débito,Pagada
27,15,5,2,2026-09-10 22:59:51,4700.0,752.0,5452.0,Efectivo,Pagada
28,23,15,2,2026-09-10 22:57:09,19150.0,3064.0,22214.0,Tarjeta de Débito,Pagada
29,9,5,2,2026-09-10 22:57:26,30300.0,4848.0,35148.0,Tarjeta de Débito,Pagada
30,16,3,1,2026-09-10 23:00:00,0.0,0.0,0.0,Tarjeta de Crédito,Pagada
31,50,11,1,2026-09-10 22:59:52,4950.0,792.0,5742.0,Efectivo,Cancelada
32,43,4,2,2026-09-10 22:58:09,9100.0,1456.0,10556.0,Transferencia,Pagada
33,18,7,2,2026-09-10 22:59:55,33600.0,5376.0,38976.0,Efectivo,Pagada
34,34,3,1,2026-09-10 23:02:45,1500.0,240.0,1740.0,Tarjeta de Débito,Pagada
35,31,15,2,2026-09-10 23:01:57,55650.0,8904.0,64554.0,Transferencia,Pagada
36,7,11,1,2026-09-10 23:02:11,46750.0,7480.0,54230.0,Tarjeta de Crédito,Pagada
37,26,4,2,2026-09-10 22:58:13,12500.0,2000.0,14500.0,Efectivo,Pagada
38,17,9,1,2026-09-10 23:01:19,14100.0,2256.0,16356.0,Efectivo,Pagada
39,35,9,1,2026-09-10 22:58:51,54000.0,8640.0,62640.0,Tarjeta de Crédito,Pagada
40,18,16,2,2026-09-10 22:58:09,4050.0,648.0,4698.0,Efectivo,Pagada
