id_detalle,id_orden,id_producto,cantidad,precio_unitario_aplicado,descuento
1,1,106,12,150.0,0.0
2,2,104,4,650.0,0.0
3,2,101,13,150.0,0.0
4,2,103,5,3000.0,0.0
5,2,103,2,3000.0,0.0
6,2,103,10,3000.0,300.0
7,3,101,11,150.0,0.0
8,4,102,11,700.0,0.0
9,4,106,2,150.0,0.0
10,4,106,4,150.0,0.0
11,5,103,7,3000.0,0.0
12,6,102,5,700.0,0.0
13,6,105,5,0.0,0.0
14,6,105,7,0.0,0.0
15,6,102,9,700.0,0.0
16,7,105,5,0.0,0.0
17,7,101,11,150.0,0.0
18,7,105,13,0.0,0.0
19,7,101,5,150.0,0.0
20,8,106,9,150.0,0.0
21,8,102,9,700.0,0.0
22,8,101,10,150.0,15.0
23,9,101,13,150.0,0.0
24,9,106,8,150.0,0.0
25,9,105,14,0.0,0.0
26,9,105,13,0.0,0.0
27,10,105,4,0.0,0.0
28,10,106,11,150.0,0.0
29,10,101,14,150.0,0.0
30,10,103,11,3000.0,0.0
31,10,106,15,150.0,0.0
32,11,104,14,650.0,0.0
33,11,106,2,150.0,0.0
34,11,101,4,150.0,0.0
35,11,102,7,700.0,0.0
36,12,102,7,700.0,0.0
37,12,104,15,650.0,0.0
38,13,102,1,700.0,0.0
39,13,106,6,150.0,0.0
40,13,105,15,0.0,0.0
41,14,102,10,700.0,0.0
42,14,104,11,650.0,0.0
43,14,103,4,3000.0,0.0
44,14,103,7,3000.0,0.0
45,14,104,6,650.0,0.0
46,15,103,5,3000.0,0.0
47,15,106,5,150.0,0.0
48,16,106,9,150.0,0.0
49,17,103,-1,3000.0,0.0
50,17,102,11,700.0,0.0
51,17,104,9,650.0,0.0
52,17,101,2,150.0,0.0
53,18,103,4,3000.0,0.0
54,19,102,12,700.0,0.0
55,20,104,4,650.0,0.0
56,21,103,11,3000.0,0.0
57,21,105,6,0.0,0.0
58,21,103,3,3000.0,0.0
59,22,102,5,700.0,0.0
60,22,105,15,0.0,0.0
61,22,106,12,150.0,0.0
62,22,101,11,150.0,0.0
63,22,106,14,150.0,0.0
64,23,104,11,650.0,0.0
65,23,102,10,700.0,0.0
66,24,106,4,150.0,0.0
67,24,106,3,150.0,0.0
68,24,106,11,150.0,0.0
69,24,102,11,700.0,0.0
70,25,102,12,700.0,0.0
71,25,102,3,700.0,70.0
72,25,101,13,150.0,0.0
73,25,106,9,150.0,0.0
74,25,101,8,150.0,0.0
75,26,104,15,650.0,0.0
76,26,104,5,650.0,0.0
77,26,103,13,3000.0,0.0
78,26,102,5,700.0,0.0
79,26,102,5,700.0,0.0
80,27,105,8,0.0,0.0
81,27,104,7,650.0,0.0
82,27,106,1,150.0,0.0
83,28,105,15,0.0,0.0
84,28,104,8,650.0,0.0
85,28,106,13,150.0,0.0
86,28,104,15,650.0,0.0
87,28,101,15,150.0,0.0
88,29,103,6,3000.0,0.0
89,29,104,5,650.0,0.0
90,29,106,9,150.0,0.0
91,29,102,11,700.0,0.0
92,30,105,4,0.0,0.0
93,31,106,15,150.0,0.0
94,31,106,4,150.0,0.0
95,31,106,4,150.0,0.0
96,31,106,10,150.0,0.0
97,31,105,13,0.0,0.0
98,32,104,2,650.0,0.0
99,32,104,12,650.0,0.0
100,32,105,11,0.0,0.0
101,32,105,13,0.0,0.0
102,33,102,13,700.0,0.0
103,33,104,6,650.0,0.0
104,33,102,8,700.0,0.0
105,33,103,5,3000.0,0.0
106,34,106,8,150.0,0.0
107,34,101,2,150.0,0.0
108,35,103,5,3000.0,0.0
109,35,102,6,700.0,0.0
110,35,106,3,150.0,0.0
111,35,103,12,3000.0,0.0
112,36,102,5,700.0,0.0
113,36,103,12,3000.0,0.0
114,36,104,2,650.0,0.0
115,36,104,8,650.0,0.0
116,36,101,5,150.0,0.0
117,37,103,2,3000.0,0.0
118,37,104,10,650.0,0.0
119,37,105,7,0.0,0.0
120,37,105,7,0.0,0.0
121,37,105,12,0.0,0.0
122,38,104,12,650.0,0.0
123,38,102,5,700.0,0.0
124,38,104,2,650.0,0.0
125,38,106,10,150.0,0.0
126,39,103,10,3000.0,0.0
127,39,103,8,3000.0,0.0
128,40,105,5,0.0,0.0
129,40,106,14,150.0,0.0
130,40,101,13,150.0,0.0
131,41,101,8,150.0,0.0
132,41,106,2,150.0,0.0
133,41,106,8,150.0,0.0
134,41,105,1,0.0,0.0
135,42,104,11,650.0,0.0
136,42,103,9,3000.0,0.0
137,42,106,8,150.0,0.0
138,42,105,13,0.0,0.0
139,42,105,1,0.0,0.0
140,43,105,12,0.0,0.0
141,43,104,4,650.0,0.0
142,43,102,15,700.0,0.0
143,44,106,5,150.0,0.0
144,44,106,8,150.0,0.0
145,44,104,6,650.0,0.0
146,45,106,15,150.0,0.0
147,45,106,13,150.0,0.0
148,45,104,1,650.0,0.0
149,45,103,14,3000.0,0.0
150,46,103,10,3000.0,0.0
151,46,103,14,3000.0,0.0
152,46,103,11,3000.0,0.0
153,47,104,2,650.0,0.0
154,48,103,6,3000.0,0.0
155,49,104,15,650.0,0.0
156,49,106,5,150.0,0.0
157,50,103,11,3000.0,0.0
158,50,104,14,650.0,0.0
159,50,104,2,650.0,0.0
160,50,105,5,0.0,0.0
161,50,106,7,150.0,0.0
162,51,105,13,0.0,0.0
163,51,105,5,0.0,0.0
164,52,106,3,150.0,0.0
165,52,106,7,150.0,0.0
166,52,105,15,0.0,0.0
167,53,101,8,150.0,0.0
168,53,102,14,700.0,0.0
169,53,104,14,650.0,0.0
170,54,105,7,0.0,0.0
171,54,101,11,150.0,15.0
172,54,105,6,0.0,0.0
173,55,104,2,650.0,0.0
174,55,102,7,700.0,0.0
175,55,106,12,150.0,0.0
176,56,101,12,150.0,0.0
177,56,102,14,700.0,0.0
178,56,103,9,3000.0,0.0
179,57,101,1,150.0,0.0
180,57,102,13,700.0,0.0
181,57,105,4,0.0,0.0
182,57,102,6,700.0,0.0
183,57,105,1,0.0,0.0
184,58,102,10,700.0,0.0
185,58,101,3,150.0,0.0
186,58,106,2,150.0,0.0
187,59,103,8,3000.0,300.0
188,59,104,14,650.0,0.0
189,59,104,12,650.0,0.0
190,59,101,6,150.0,0.0
191,59,103,10,3000.0,0.0
192,60,106,14,150.0,0.0
193,60,102,7,700.0,0.0
194,60,104,12,650.0,0.0
195,60,106,5,150.0,0.0
196,60,104,2,650.0,0.0
197,61,103,14,3000.0,0.0
198,61,106,1,150.0,0.0
199,61,103,2,3000.0,0.0
200,61,106,8,150.0,0.0
201,62,105,11,0.0,0.0
202,62,106,14,150.0,15.0
203,62,103,12,3000.0,0.0
204,62,103,1,3000.0,0.0
205,62,106,7,150.0,0.0
206,63,106,6,150.0,0.0
207,63,101,15,150.0,0.0
208,63,105,1,0.0,0.0
209,64,103,11,3000.0,0.0
210,65,102,13,700.0,0.0
211,65,103,-1,3000.0,0.0
212,65,106,7,150.0,0.0
213,66,101,14,150.0,0.0
214,66,104,12,650.0,0.0
215,66,104,1,650.0,0.0
216,66,105,8,0.0,0.0
217,67,106,6,150.0,0.0
218,67,101,9,150.0,0.0
219,67,102,15,700.0,0.0
220,68,102,13,700.0,0.0
221,68,106,8,150.0,0.0
222,68,105,8,0.0,0.0
223,68,106,11,150.0,0.0
224,68,106,6,150.0,0.0
225,69,101,1,150.0,0.0
226,69,106,14,150.0,0.0
227,69,105,9,0.0,0.0
228,69,106,15,150.0,0.0
229,70,101,13,150.0,0.0
230,70,106,2,150.0,0.0
231,70,102,12,700.0,0.0
232,70,105,10,0.0,0.0
233,71,101,6,150.0,0.0
234,71,103,5,3000.0,0.0
235,71,105,14,0.0,0.0
236,72,106,13,150.0,0.0
237,72,106,14,150.0,0.0
238,72,105,2,0.0,0.0
239,72,103,1,3000.0,0.0
240,73,105,13,0.0,0.0
241,74,106,13,150.0,0.0
242,74,106,8,150.0,0.0
243,75,102,6,700.0,0.0
244,75,104,8,650.0,0.0
245,75,105,9,0.0,0.0
246,75,102,13,700.0,0.0
247,76,102,14,700.0,0.0
248,76,102,14,700.0,0.0
249,76,101,7,150.0,0.0
250,76,102,7,700.0,0.0
251,76,101,6,150.0,0.0
252,77,106,8,150.0,15.0
