id_factura,id_orden,uuid,fecha_timbrado
1,2,73d9e31c-a353-42e7-9e62-f0a1796ef585,2026-09-11 22:18:39
2,3,8d1d0bf5-9181-42fa-9809-685e7d9cd1c6,2026-09-12 06:13:39
3,14,f0709085-a108-41cc-951c-555b7264e113,2026-09-11 16:31:39
4,16,e14c7748-29cf-4c78-8883-ff8599898088,2026-09-11 17:13:39
5,18,427f8dbf-d7a4-4ad0-8023-1d8e89185823,2026-09-11 15:00:39
6,19,32e341b6-6bdc-40f5-99a8-e42e2168f0dd,2026-09-11 21:21:39
7,21,805c51e9-c6a2-4858-acb3-8a6da6b6e65d,2026-09-11 15:48:39
8,22,a7c78266-e39f-485c-9948-ab7564de8b59,2026-09-11 19:25:39
9,23,ec25f15a-5095-4d0d-8d72-2655a4336a05,2026-09-12 03:56:39
10,25,c2a535e1-c44f-4451-bc0f-7e990f583930,2026-09-11 21:39:39
11,26,40c6eb3e-6c94-4518-9a5f-ea7e6cdd242d,2026-09-12 01:34:39
12,28,2aec11d4-9f00-43ca-8cbc-966c07edb270,2026-09-11 22:14:39
13,31,09d8c620-2c6c-43f9-a568-07389e970521,2026-09-12 08:59:39
14,37,330308fc-818c-4250-a796-6474231c7915,2026-09-11 18:24:39
15,41,a97d9014-cbdc-4fd4-b785-7a8700cefdb0,2026-09-11 19:16:39
16,42,6f56bc07-7551-4930-a844-ffe845bb835c,2026-09-12 01:45:39
17,43,5af6d545-19e9-4628-86fe-0b36e766ddc7,2026-09-12 03:11:39
18,45,2edf9967-c644-496a-8720-2a7d2745d32b,2026-09-12 00:43:39
19,48,944425dd-eeb4-47b1-acbd-78747d09696e,2026-09-12 02:48:39
20,49,aa663c5e-922f-400b-b94b-35ce589e5d5e,2026-09-12 02:33:39
21,50,5a1d6989-5ca7-4afe-9629-e753904bd2b0,2026-09-12 13:55:39
22,51,e4dc7b74-eb70-4d3c-839c-95116b40e60f,2026-09-12 04:53:39
23,53,4b5def75-b0a2-4423-9779-e135c510ebb6,2026-09-12 00:16:39
24,57,97a7abdb-0858-4c12-a9ea-79379f94b6e0,2026-09-12 08:55:39
25,58,241f6d1b-dc43-47f1-acb4-501998132319,2026-09-11 20:11:39
26,60,67996f56-ab75-4e08-a50d-d9a512d7100e,2026-09-12 05:34:39
27,61,9d02d733-3e3a-4bf1-ba77-1221352302a2,2026-09-12 10:38:39
28,68,4951e3ec-41f3-4161-9edc-80bc89b2fc60,2026-09-11 13:02:39
29,69,baacf97f-6e03-461d-a418-1bd6ba7c538b,2026-09-11 18:03:39
30,70,09457a9c-4c66-4ad7-b2da-a589985c8e52,2026-09-12 06:06:39
31,73,a33eb81f-3e5b-4c37-a160-8eb8d622bd13,2026-09-12 09:36:39
32,75,766ad48b-3192-450f-b80c-064b6102e082,2026-09-11 13:22:39
33,82,d83530ef-1fac-48f0-a471-8f8956de7204,2026-09-12 07:28:39
34,83,e898a5e6-ea9b-4dae-acee-15ee23376c0a,2026-09-12 01:30:39
35,93,a6f6455e-390a-486c-818e-b0876b081d54,2026-09-11 17:36:39
36,94,ef466e4f-ed47-42bf-b9d4-0d0ff3bc1cb3,2026-09-12 03:32:39
37,107,db18c35d-11b2-456c-8d0c-9db932366c41,2026-09-11 20:49:39
38,108,7d22eeed-bfac-4a7a-9974-4c0ad3c96728,2026-09-12 04:25:39
39,113,a9b48237-9ded-4e84-9561-f0b1ffeceed2,2026-09-11 18:14:39
40,114,b949a253-6665-4610-b937-b5b396a0ba18,2026-09-11 22:00:39
41,115,43422ab4-9ae3-411d-b9cf-a7af7cc16ac5,2026-09-11 13:10:39
42,118,5283ef1a-62e9-4dc4-8508-93ab768e7c03,2026-09-12 02:47:39
43,119,44ddcd62-5fd3-4047-8d13-3a9ae4820d16,2026-09-11 19:19:39
44,120,a5ae8122-74c2-42ab-9a36-79be4fd37b74,2026-09-12 11:12:39
45,121,bfbb6ba5-ed57-435b-8b76-6eb881ce788f,2026-09-11 19:03:39
46,123,c749cf1e-b1e6-476b-9de5-a953fc2820a0,2026-09-11 14:32:39
47,124,e06f6405-8ca4-4852-af27-193e62150a1d,2026-09-11 21:14:39
48,125,12a5a3c5-d755-4581-b3a0-c9ea8c28d1e0,2026-09-11 22:50:39
49,129,f9a0a9f3-06fa-4c3d-801a-83cb2e0a34aa,2026-09-12 02:49:39
50,137,8031a066-7e62-4999-a189-e1a80b7d5373,2026-09-11 22:41:39
51,153,67836258-d42c-4812-9b06-37e65624d1af,2026-09-12 11:28:39
52,154,e4d6ee11-91b2-4dc2-93dc-3563c813094b,2026-09-11 22:14:39
53,160,4dc12108-d356-4fc2-b774-d7b68e7fc63e,2026-09-12 00:57:39
54,161,9a751f59-c2a7-4661-809d-954154e79aea,2026-09-12 08:09:39
55,163,c3a6f5fa-8084-4437-b0fe-4724b2289502,2026-09-12 10:53:39
56,166,b5ead98c-7ac0-47d2-a4d7-63fc3480e3b9,2026-09-12 03:49:39
57,171,ae2b1a1a-a72b-493c-8204-a810069f830e,2026-09-11 21:14:39
58,173,dcd5febc-8d6f-4cec-876b-70efb596702f,2026-09-12 00:12:39
59,175,30b1190b-97a7-4da1-ae6e-98211f199e9f,2026-09-12 05:52:39
60,176,8e73f88c-bedc-4f6a-9012-7683e5e487b9,2026-09-11 21:09:39
61,179,28334665-5e5a-47ec-93dd-5171f0ba444b,2026-09-11 15:15:39
62,182,05adf481-c339-4e28-85ad-4dd87f483d6c,2026-09-12 01:34:39
63,183,b7e65ac1-be9a-41cb-a8c5-9e958a4dd989,2026-09-11 18:01:39
64,185,1c70fffc-b3bd-465e-b636-f2116cceccef,2026-09-11 19:03:39
65,186,17779381-1415-41fa-ae6a-91581dc31dba,2026-09-12 12:58:39
66,187,706d9c57-7627-4d07-a464-04a36a714045,2026-09-11 14:15:39
67,189,e0ea5eb6-ff8f-4543-bd9d-426df9e2ca42,2026-09-12 02:44:39
68,193,3f069feb-e177-423a-97b9-85b3a41771ee,2026-09-11 17:44:39
69,195,3c94c2bb-e8e4-4e70-9f59-c39498a1cefd,2026-09-12 10:32:39
70,198,ce4a9d72-a455-41c5-919e-e72d15842ace,2026-09-11 19:12:39
71,200,3f33c8bc-a74b-4ea8-9639-888d804ae277,2026-09-12 04:19:39
