id_detalle,id_orden,id_producto,cantidad,precio_unitario_aplicado,descuento
1,1,106,3,150.0,0.0
2,2,101,10,150.0,0.0
3,2,102,9,700.0,0.0
4,3,102,3,700.0,0.0
5,3,106,11,150.0,0.0
6,3,105,9,99.0,0.0
7,4,106,9,150.0,0.0
8,4,102,11,700.0,70.0
9,4,101,4,150.0,0.0
10,4,103,14,3000.0,0.0
11,5,101,15,150.0,0.0
12,5,104,12,650.0,0.0
13,5,102,12,700.0,0.0
14,5,105,6,99.0,0.0
15,5,104,12,650.0,0.0
16,6,102,5,700.0,0.0
17,6,103,9,3000.0,0.0
18,6,103,5,3000.0,300.0
19,7,101,6,150.0,15.0
20,8,101,13,150.0,15.0
21,9,102,8,700.0,0.0
22,10,106,4,150.0,0.0
23,10,105,11,99.0,0.0
24,10,103,2,3000.0,0.0
25,10,106,3,150.0,0.0
26,10,103,14,3000.0,0.0
27,11,101,4,150.0,15.0
28,11,104,9,650.0,0.0
29,11,104,3,650.0,0.0
30,11,103,5,3000.0,0.0
31,11,104,12,650.0,0.0
32,12,104,8,650.0,0.0
33,13,101,3,150.0,0.0
34,13,106,10,150.0,0.0
35,14,106,15,150.0,0.0
36,15,105,15,99.0,9.9
37,15,103,9,3000.0,0.0
38,15,101,3,150.0,0.0
39,15,105,6,99.0,0.0
40,16,105,14,99.0,0.0
41,16,105,13,99.0,0.0
42,17,104,9,650.0,0.0
43,17,102,6,700.0,0.0
44,18,102,12,700.0,0.0
45,18,103,3,3000.0,0.0
46,18,102,12,700.0,0.0
47,19,103,14,3000.0,0.0
48,19,104,3,650.0,0.0
49,19,106,10,150.0,15.0
50,19,102,1,700.0,0.0
51,19,105,10,99.0,0.0
52,20,103,3,3000.0,0.0
53,21,103,1,3000.0,0.0
54,21,102,1,700.0,0.0
55,21,102,9,700.0,0.0
56,21,101,13,150.0,15.0
57,22,102,11,700.0,0.0
58,22,105,11,99.0,0.0
59,22,101,11,150.0,0.0
60,22,106,1,150.0,0.0
61,22,101,10,150.0,15.0
62,23,104,7,650.0,0.0
63,24,101,4,150.0,0.0
64,24,106,15,150.0,0.0
65,24,103,9,3000.0,0.0
66,25,103,2,3000.0,0.0
67,25,103,4,3000.0,0.0
68,25,101,4,150.0,0.0
69,25,101,2,150.0,0.0
70,25,105,10,99.0,0.0
