id_movimiento,id_producto,id_sucursal,tipo,cantidad,fecha_hora,id_orden_venta,id_orden_compra
1561,106,1,Salida,-13,2026-09-18 11:10:52,601,
1562,104,2,Salida,-5,2026-09-18 15:00:52,602,
1563,104,2,Salida,-13,2026-09-18 15:00:52,602,
1564,101,2,Salida,-8,2026-09-18 15:00:52,602,
1565,104,2,Salida,-5,2026-09-17 21:58:52,603,
1566,101,2,Salida,-13,2026-09-17 21:58:52,603,
1567,103,2,Salida,-13,2026-09-18 16:26:52,604,
1568,106,2,Salida,-4,2026-09-18 16:26:52,604,
1569,103,2,Salida,-3,2026-09-18 16:26:52,604,
1570,102,2,Salida,-7,2026-09-18 16:26:52,604,
1571,101,2,Salida,-13,2026-09-18 16:26:52,604,
1572,106,1,Salida,-9,2026-09-18 13:22:52,605,
1573,102,1,Salida,-4,2026-09-18 13:22:52,605,
1574,104,1,Salida,-2,2026-09-18 13:22:52,605,
1575,105,2,Salida,-7,2026-09-17 21:39:52,606,
1576,105,2,Salida,-15,2026-09-17 21:39:52,606,
1577,103,2,Salida,-13,2026-09-18 07:01:52,607,
1578,103,2,Salida,-13,2026-09-18 07:01:52,607,
1579,105,2,Salida,-11,2026-09-18 07:01:52,607,
1580,106,1,Salida,-2,2026-09-18 09:14:52,608,
1581,102,1,Salida,-14,2026-09-18 12:27:52,609,
1582,102,2,Salida,-12,2026-09-18 14:59:52,610,
1583,104,1,Salida,-2,2026-09-18 14:19:52,611,
1584,101,1,Salida,-8,2026-09-18 14:19:52,611,
1585,106,1,Ajuste,-9,2026-09-18 14:19:52,611,
1586,104,2,Salida,-3,2026-09-18 08:53:52,612,
1587,104,2,Salida,-10,2026-09-18 08:53:52,612,
1588,105,2,Salida,-15,2026-09-18 06:37:52,613,
1589,101,2,Ajuste,-6,2026-09-18 06:37:52,613,
1590,101,2,Salida,-9,2026-09-18 06:37:52,613,
1591,104,2,Salida,-13,2026-09-18 06:37:52,613,
